NAME,price,room type,house_rules,minimum nights,maximum occupancy,review rate number,city
"Beautiful, Sunny, Artsy apartment in Brooklyn",660.0,Entire home/apt,No children under 10,21.0,4,3.0,Newark
Spacious 1 bedroom in Prime Williamsburg,515.0,Entire home/apt,No pets & No visitors & No smoking,3.0,5,2.0,Newark
1 Bedroom in UWS Manhattan,117.0,Entire home/apt,No parties & No smoking,2.0,3,2.0,Newark
Prime west village! design 1BR~Best Value,1066.0,Entire home/apt,No smoking,30.0,6,4.0,Newark
Comfortable one bedroom with patio,73.0,Entire home/apt,No children under 10,2.0,3,4.0,Tallahassee
Cozy Washington Heights Bedroom,1036.0,Private room,No smoking & No parties,1.0,2,1.0,Tallahassee
Spacious private room near LGA airport,459.0,Private room,No visitors,1.0,1,3.0,Tallahassee
Super Sunny Room with Fireplace!,206.0,Private room,No smoking,2.0,2,4.0,Tallahassee
Cozy Beautiful Room Only 20min from Manhattan NYC!,122.0,Private room,No parties & No smoking,7.0,1,1.0,Tallahassee
Sunny room in Brooklyn (20 min from Manhattan),873.0,Private room,No pets & No children under 10,1.0,2,4.0,Tallahassee
"Luxury 2 BR Apartment, Columbus Circle",606.0,Entire home/apt,No parties,30.0,4,5.0,Tallahassee
The Gramercy East,1031.0,Entire home/apt,No parties & No pets,2.0,3,4.0,Syracuse
Nice Room,564.0,Private room,No smoking,2.0,2,3.0,Syracuse
*Lovely Apt in Heart of Park Slope*,1138.0,Entire home/apt,No pets & No children under 10,30.0,3,4.0,Syracuse
"Harlem ""Hostel"" for Single Travelers",1199.0,Shared room,No parties & No smoking,2.0,1,4.0,Syracuse
"Sixth Ave Chelsea, Studio Serviced Apartment",589.0,Entire home/apt,No pets,30.0,5,2.0,Syracuse
Chic Apartment for rent in East Village,430.0,Entire home/apt,No pets,2.0,2,2.0,Syracuse
Lrg 2 BR Duplex Top 2 Flrs Terrace West Village,733.0,Entire home/apt,No children under 10,3.0,3,3.0,Syracuse
Cozy studio basement in heart of Brooklyn,489.0,Private room,No pets & No smoking & No children under 10,2.0,1,4.0,Syracuse
Chill Vibes in Beautiful Fort Greene,518.0,Private room,No visitors,2.0,2,4.0,Syracuse
Sunny 2 bedroom apartment!,201.0,Entire home/apt,No pets & No smoking,1.0,3,2.0,Syracuse
Magnificent NYC 1 Bedroom Apt on the River!!,445.0,Entire home/apt,No pets,30.0,2,3.0,Syracuse
Brooklyn Studio with a View,1168.0,Entire home/apt,No parties,2.0,5,3.0,Syracuse
Boutique Studio,162.0,Entire home/apt,No pets,5.0,2,5.0,Syracuse
Bed Stuy Home Away From Home,735.0,Entire home/apt,No parties,1.0,6,2.0,Syracuse
10 mins from JFK. Smoking okay.,692.0,Private room,No smoking & No children under 10,1.0,2,4.0,Syracuse
Spacious & Artsy Astoria Apartment,647.0,Entire home/apt,No parties & No children under 10,3.0,5,4.0,Syracuse
Privet outdoor space!!!,173.0,Entire home/apt,No smoking & No children under 10 & No parties,30.0,2,1.0,Syracuse
1 Bedroom Condo/Kitchen Wyndham Midtown 45 Resort*,488.0,Private room,No parties,3.0,1,2.0,Syracuse
"Sunny, Cozy, and a View!",1137.0,Entire home/apt,No smoking,2.0,9,4.0,Syracuse
SHOOTS ONLY - Huge Artist loft in Williamsburg,526.0,Entire home/apt,No pets,1.0,2,4.0,Syracuse
A Crown Heights Holiday,828.0,Private room,No pets,1.0,2,3.0,Syracuse
Midtown East 2 Bed/2 Bath Elevator Building Apt,540.0,Entire home/apt,No pets,7.0,4,3.0,Los Angeles
Sunny apartment with easy connections to anywhere.,968.0,Private room,No children under 10,3.0,1,4.0,Los Angeles
"Upper West Side, Manhattan, NY",1083.0,Entire home/apt,No parties & No visitors,6.0,10,1.0,Los Angeles
"Room in Queens, NY, near LGA.",982.0,Private room,No children under 10,1.0,2,2.0,Los Angeles
Best Nest.,371.0,Private room,No pets,1.0,2,4.0,Los Angeles
Cozy Harlem Home,987.0,Private room,No smoking & No parties,1.0,2,2.0,Los Angeles
Enormous Private Room in Shared Apartment,198.0,Private room,No pets & No children under 10,5.0,1,3.0,Los Angeles
Cosy room in a sunny Brooklyn flat,678.0,Private room,No smoking,3.0,1,3.0,Los Angeles
Private Room with Private Bath Upper East Side,359.0,Private room,No children under 10,1.0,2,4.0,Los Angeles
Spacious Luxury Studio-96th and WEA,820.0,Entire home/apt,No parties & No pets,4.0,8,2.0,Los Angeles
Luxury building studio,1076.0,Entire home/apt,No parties & No children under 10,2.0,2,1.0,Los Angeles
Lovely studio,117.0,Entire home/apt,No visitors,1.0,3,4.0,Los Angeles
Versatile private room in Harlem/Hamilton Heights!,398.0,Private room,No pets & No visitors & No parties,4.0,1,5.0,New York
Beautiful and big 1BR sublet close by Central Park,983.0,Private room,No parties & No children under 10,5.0,2,5.0,New York
A Contemporary Homelike Stay in the Best of BK,228.0,Entire home/apt,No pets & No visitors & No children under 10,2.0,2,2.0,New York
Charming Bright Room in Bed Stuy Brownstone,1064.0,Private room,No visitors & No smoking & No pets,30.0,2,3.0,New York
Spacious Bedroom in Prime Brooklyn Location,782.0,Private room,No parties & No pets,3.0,1,4.0,New York
Cool Downtown Apartment in Great Location,997.0,Entire home/apt,No pets,4.0,7,4.0,New York
Modern Brooklyn oasis (PRIVATE ROOM),403.0,Private room,No children under 10,1.0,1,5.0,New York
Magical rowhouse and garden in Williamsburg,189.0,Entire home/apt,No parties,4.0,3,1.0,New York
Large Bed-Stuy Apartment,132.0,Entire home/apt,No visitors,6.0,2,4.0,New York
IN MINT CONDITION-1BR&TERRACE-E 44TH/UNITED NATION,297.0,Entire home/apt,No pets,30.0,2,4.0,New York
Spacious Private Access Near Trains M - L and J,800.0,Private room,No pets,2.0,1,4.0,New York
Sunny + Spacious Master Bedroom with Outdoor Deck,109.0,Private room,No pets,3.0,1,5.0,New York
✈ NYC/Travelers. New Private Access Room Bed Full,1158.0,Private room,No pets,2.0,1,5.0,New York
"Spacious 1 Bedroom in Midwood, BK!",1125.0,Private room,No children under 10,1.0,1,1.0,Milwaukee
Affordable bedroom in the East Village!,184.0,Private room,No parties,2.0,2,5.0,Milwaukee
Consider it home,892.0,Entire home/apt,No children under 10 & No pets,26.0,3,3.0,Milwaukee
Delightful & Roomy 1 Bdrm Apt,911.0,Entire home/apt,No pets & No smoking & No children under 10,1.0,9,1.0,Milwaukee
Sunny and Bright 1BR Factory Loft,146.0,Entire home/apt,No smoking & No visitors,30.0,2,1.0,Milwaukee
"Spacious Charming NYC Apt, 10 min to Midtown",928.0,Entire home/apt,No smoking,10.0,7,3.0,Milwaukee
Cozy room in south Harlem - 10 mins to Columbia,564.0,Private room,No visitors & No children under 10,1.0,2,5.0,Austin
Upper West Side studio with private terrace,1142.0,Entire home/apt,No children under 10 & No visitors,5.0,11,2.0,Austin
Spacious Williamsburg 1 bedroom!,455.0,Entire home/apt,No smoking,1.0,2,1.0,Austin
Gorgeous Zen Home at Crossroads of Nolita and Soho,1148.0,Entire home/apt,No visitors,2.0,11,5.0,Austin
Beautiful 3 bedroom apartment in East Williamsburg,1169.0,Entire home/apt,No visitors,2.0,7,4.0,Austin
Entire 2 bedroom top floor in Clinton Hill,317.0,Entire home/apt,No visitors,28.0,3,5.0,Austin
"1 Bedroom , Beautiful Spacious Brownstone
 Apt",68.0,Entire home/apt,No parties & No children under 10 & No smoking,3.0,3,2.0,Austin
Lux 2Bed/2.5Bath Central Park Views,1004.0,Entire home/apt,No pets & No visitors,30.0,7,5.0,St. Louis
Kan house,749.0,Private room,No pets,1.0,2,4.0,St. Louis
Sublet in Furnished Master Bedroom,930.0,Private room,No smoking & No parties & No pets,1.0,2,5.0,St. Louis
"Private room in large, central Nolita penthouse!",342.0,Private room,No visitors,3.0,2,5.0,St. Louis
1800sf Urban Goddess Brooklyn Loft,898.0,Entire home/apt,No pets & No parties,2.0,4,2.0,St. Louis
Pet & Tony's Residence,271.0,Entire home/apt,No parties & No visitors & No pets,1.0,2,3.0,St. Louis
Comfy room with WiFi. Mins to Central Park!,934.0,Private room,No children under 10,30.0,2,5.0,St. Louis
"Beloved Williamsburg, Brooklyn is calling to you!",332.0,Private room,No pets & No parties & No smoking,3.0,2,4.0,St. Louis
Modern Luxury Loft  3bd  Williamsburg,980.0,Entire home/apt,No visitors & No children under 10,3.0,4,5.0,St. Louis
Huge two bedroom apt n Bayridge!!!,1088.0,Private room,No children under 10,1.0,2,2.0,St. Louis
Peaceful room in Bushwick,79.0,Private room,No parties,1.0,1,3.0,St. Louis
Nice bedroom - Lower East Side,993.0,Private room,No smoking,1.0,2,4.0,St. Louis
Studio Apt. near Empire State Bldg 4B,390.0,Entire home/apt,No smoking,30.0,3,2.0,St. Louis
Cozy Escape in the thriving heart of Bed-Stuy,230.0,Entire home/apt,No pets & No visitors,2.0,3,5.0,St. Louis
Verrazano bridge garden house,1016.0,Private room,No visitors & No smoking & No parties,5.0,1,3.0,Des Moines
Thee Bohemian BNB Astoria,987.0,Private room,No visitors & No children under 10,1.0,2,4.0,Des Moines
Big manhattan room w gorgeous views.,1189.0,Private room,No parties,1.0,2,1.0,Des Moines
Cozy Bed Stuy Getaway,871.0,Entire home/apt,No children under 10,2.0,6,5.0,Des Moines
Spacious private room in a 3br in Bushwick,599.0,Private room,No children under 10 & No parties & No visitors,7.0,1,4.0,Des Moines
"UES APT- NEAR CENTRAL PARK, MUSEUMS",1136.0,Entire home/apt,No children under 10 & No visitors & No smoking,2.0,7,3.0,Des Moines
"Spacious, Sunny, 1br in Midtown East with doorman",83.0,Entire home/apt,No pets,3.0,3,1.0,Des Moines
The N residence,706.0,Private room,No smoking,1.0,2,5.0,Des Moines
"Harlem intimate room,20 min to Time Square,by Park",357.0,Private room,No children under 10,3.0,1,3.0,Des Moines
Hells Kitchen 3 Bedroom,61.0,Entire home/apt,No visitors & No smoking,30.0,2,3.0,Des Moines
SIMPLEHOME,74.0,Entire home/apt,No smoking & No parties,1.0,2,5.0,Des Moines
Sunset & Chill: Master BR Sunset Park brownstone,361.0,Private room,No parties & No children under 10,7.0,2,2.0,Des Moines
Private Queen Bedroom in Brooklyn,1032.0,Private room,No pets,1.0,1,1.0,Des Moines
Nice Clean Official Cozy Suite 2 In Brooklyn,413.0,Private room,No pets,3.0,2,4.0,New Orleans
Lovely One bedroom apartment 20 min to Manhattan,186.0,Entire home/apt,No parties,4.0,2,3.0,New Orleans
"Harlem Deco,",650.0,Private room,No visitors,1.0,2,2.0,New Orleans
Cozy in Cobble Hill,205.0,Entire home/apt,No visitors & No smoking,2.0,2,2.0,New Orleans
Best Location on the UWS!!,692.0,Private room,No parties,2.0,1,3.0,New Orleans
Conveniently located private room in Brooklyn,172.0,Private room,No visitors,1.0,1,1.0,New Orleans
Gorgeous exposed-brick 2 BR Apt in LES!,1187.0,Entire home/apt,No visitors & No children under 10,2.0,8,4.0,New Orleans
"Entire apt NYC, Queens. 15 min from Times Square.",692.0,Entire home/apt,No pets,10.0,3,5.0,New Orleans
Cute private room in the heart of Soho,1084.0,Private room,No children under 10,5.0,2,4.0,New Orleans
Sonder | Upper East Side | Chic 1BR + Sofa Bed,389.0,Entire home/apt,No visitors,29.0,2,2.0,New Orleans
Cozy Renovated 2 Bedroom Apartment Heart of Brklyn,890.0,Entire home/apt,No parties & No visitors,30.0,4,5.0,New Orleans
Cute bedroom available near subway in Astoria!,1189.0,Private room,No visitors,2.0,1,5.0,New Orleans
Harlem Short Term Stay,318.0,Entire home/apt,No pets & No smoking,4.0,2,5.0,New Orleans
Luxury apartment in Williamsburg,961.0,Entire home/apt,No parties & No smoking,1.0,4,1.0,New Orleans
A great place to crash.,819.0,Private room,No parties,2.0,2,2.0,New Orleans
U.E.S 1 Bedroom Spacious Apartment,147.0,Entire home/apt,No visitors,4.0,2,1.0,New Orleans
Happy big family,889.0,Private room,No pets & No visitors,1.0,2,3.0,New Orleans
NICE 2 BED APT NEAR TIME SQUARE,1070.0,Entire home/apt,No pets & No smoking & No children under 10,30.0,7,4.0,New Orleans
Steps away from the Heart of the Theater District!,389.0,Private room,No children under 10,1.0,2,5.0,Las Vegas
Two real bedrooms near Central Park,731.0,Entire home/apt,No smoking & No parties & No pets,1.0,5,3.0,Las Vegas
Redford Room 1,1018.0,Private room,No parties & No visitors,1.0,1,1.0,Las Vegas
Bedroom in Beautiful Park Slope Brownstone,1165.0,Private room,No smoking,2.0,1,4.0,Las Vegas
"Estudio 1 Brooklyn, NY.",1106.0,Entire home/apt,No visitors & No smoking & No children under 10,2.0,8,3.0,Las Vegas
Cozy modern stay,100.0,Entire home/apt,No children under 10,2.0,2,1.0,Las Vegas
BEAUTIFUL 2 BED/ BRICK WALLS/ 52ST,731.0,Entire home/apt,No smoking,30.0,7,3.0,Las Vegas
Cozy Studio Apt-One block away from Prospect Park!,108.0,Entire home/apt,No children under 10 & No smoking,1.0,3,5.0,Las Vegas
Sophisticated 1BR in Midtown East by Sonder,372.0,Entire home/apt,No smoking,29.0,2,2.0,Las Vegas
JFK Queens/House of Suedajoy#5(dis by flexibility,1003.0,Private room,No smoking & No pets,1.0,2,5.0,Las Vegas
CHARMING ONE BEDROOM APT IN LES/CHINATOWN,430.0,Entire home/apt,No parties & No children under 10,4.0,4,1.0,Pensacola
Luxury East Village Penthouse With Private Deck,697.0,Entire home/apt,No visitors,2.0,6,3.0,Pensacola
"Amazing apartment near museum, gardens & park!",74.0,Entire home/apt,No parties,17.0,3,5.0,Pensacola
Cozy 1-Bedroom Apartment 2 Blocks from the Subway,339.0,Entire home/apt,No parties,2.0,3,4.0,Pensacola
AMAZING  2BR Apartment Elev/laundry!,56.0,Entire home/apt,No parties & No children under 10 & No pets,30.0,2,4.0,Pensacola
Chic Historic Harlem Brownstone,526.0,Entire home/apt,No smoking,3.0,2,4.0,Pensacola
Clean and Cozy Brooklyn Room in Artsy Apartment,514.0,Private room,No pets,1.0,1,3.0,Pensacola
EMPIRE STATE BUILDING APARTMENT,662.0,Entire home/apt,No smoking & No visitors,7.0,2,5.0,Pensacola
1D  Private Rm  in Guesthouse Manhattan,378.0,Private room,No visitors & No parties,1.0,1,3.0,Pensacola
Stylish and cozy East Village 2 bedroom apartment,1036.0,Entire home/apt,No parties,1.0,5,4.0,Pensacola
Comfy Room,92.0,Private room,No parties & No smoking & No pets,4.0,1,2.0,Pensacola
Spacious 1BR Haven in Duplex w/Deck,1050.0,Private room,No parties,7.0,2,2.0,Pensacola
***WELCOME TO MI CASA TU CASA NEAR JFK/LGA AIRPORT,178.0,Private room,No children under 10 & No parties & No visitors,2.0,1,5.0,Fresno
Brand new renovated retreat 5 min from JFK!,751.0,Private room,No visitors,1.0,1,4.0,Fresno
"Gorgeous studio ""Hamptons style"" in West Village",661.0,Entire home/apt,No visitors,3.0,4,4.0,Fresno
Food & Music Dream Apartment in Williamsburg,291.0,Entire home/apt,No children under 10,4.0,3,3.0,Fresno
Penthouse Room in Williamsburg,103.0,Private room,No visitors & No smoking & No pets,1.0,2,5.0,Fresno
10 Minutes away from JFK Airport,511.0,Entire home/apt,No parties,2.0,5,2.0,Fresno
Large 3 Bedroom Loft in Heart of Williamsburg,233.0,Entire home/apt,No pets,3.0,3,3.0,Fresno
"Homey private room in Inwood, Manhattan",198.0,Private room,No visitors,2.0,2,3.0,Fresno
Comfy Queen Bedroom in Crown Heights 2SR,603.0,Private room,No smoking & No parties & No children under 10,1.0,1,1.0,Fresno
Beautiful Private Bedroom with Balcony,606.0,Private room,No smoking,1.0,1,5.0,Fresno
Sunny Harlem Oasis feels like Luxury,693.0,Entire home/apt,No smoking & No children under 10,1.0,5,3.0,Fresno
Bright & Clean 1bed apt *PRIME* LES,1167.0,Entire home/apt,No parties & No pets & No smoking,1.0,3,5.0,Fresno
NYC Hideaway Urban Suite,647.0,Entire home/apt,No pets,2.0,2,3.0,Fresno
HUGE East Village 2 Bd w/Priv Yard,67.0,Entire home/apt,No pets & No parties,3.0,2,4.0,Fresno
Spacious Room in Large 2 Bedroom Prewar Apartment,585.0,Private room,No parties & No visitors,1.0,2,4.0,San Diego
Big room near Prospect Park! NY!,752.0,Private room,No parties & No smoking & No pets,7.0,1,2.0,San Diego
"Luxury 4BR Home, Spacious & Central to Trains",392.0,Entire home/apt,No parties,3.0,3,5.0,San Diego
Cozy 1.5BD in Parkslope Brooklyn,1093.0,Entire home/apt,No parties,3.0,10,2.0,San Diego
Spacious & Homey Williamsburg 1BR Apartment,1004.0,Entire home/apt,No parties,5.0,4,3.0,San Diego
Upper East Side 1 Bedroom Gem,692.0,Shared room,No children under 10 & No parties & No smoking,2.0,1,3.0,San Diego
Organic Oasis Duplex (EMF-free),1186.0,Entire home/apt,No visitors & No smoking,60.0,4,4.0,San Diego
Harlem Garden Oasis in  New York City Brownstone,368.0,Entire home/apt,No visitors,31.0,3,5.0,San Diego
Conveniently located 2 BR Time Square Apartment,502.0,Entire home/apt,No parties & No smoking & No children under 10,2.0,4,5.0,San Diego
LargeBedroom gem in historic Red Hook Brooklyn!,787.0,Private room,No visitors,4.0,2,3.0,San Diego
The Perfect Upper East Side Apartment,847.0,Entire home/apt,No visitors,1.0,2,3.0,San Diego
CHIC EVENT SPACE,1068.0,Entire home/apt,No visitors,1.0,2,5.0,San Diego
"Beautiful Double Room - Heart of Clinton Hill, BK",658.0,Private room,No smoking & No children under 10 & No parties,1.0,2,3.0,Baltimore
"Contemporary Home Away from Home, Entire house",290.0,Entire home/apt,No visitors,2.0,2,3.0,Baltimore
Cute Family Friendly Vintage Brownstone Living!!,920.0,Shared room,No parties & No children under 10,2.0,1,1.0,Baltimore
Cozy Bedroom in best area of FiDi,290.0,Private room,No smoking & No pets,5.0,1,5.0,Baltimore
1 bedroom apartment on West 34th street,107.0,Entire home/apt,No visitors,30.0,2,5.0,Baltimore
Sun soaked private room with all the amenities!,605.0,Private room,No smoking & No children under 10,1.0,1,4.0,Baltimore
Manhattan Sunny Private Room,650.0,Private room,No smoking,5.0,1,2.0,Baltimore
"Bright Zen Bedroom with TV, nr JMZ Subways",726.0,Private room,No pets,4.0,1,5.0,Baltimore
Beautiful 2 bedroom private suite,289.0,Entire home/apt,No children under 10,28.0,3,1.0,Baltimore
Charming Duplex in Manhattan,72.0,Entire home/apt,No children under 10 & No pets & No smoking,3.0,3,1.0,Baltimore
Bronx Retreat in Contemporary Apt,660.0,Private room,No parties & No visitors & No children under 10,2.0,1,4.0,Baltimore
Historic UES Penthouse/Rooftop Terrace by the MET,933.0,Entire home/apt,No parties & No visitors & No smoking,1.0,9,4.0,Baltimore
Private Room near Columbia University,975.0,Private room,No pets,20.0,1,2.0,Baltimore
Spacious Williamsburg Beauty,687.0,Entire home/apt,No visitors & No smoking & No children under 10,4.0,2,3.0,Baltimore
Large Brooklyn Rm- Prospect Park & F/G Train!,718.0,Shared room,No visitors & No pets & No smoking,2.0,1,4.0,Baltimore
"Luxury room w/ balcony, 5 mins to subway",84.0,Private room,No smoking & No parties,5.0,2,3.0,Baltimore
Cozy Shared Studio 10 minutes from Times Square!,373.0,Shared room,No children under 10 & No parties & No smoking,1.0,1,2.0,Baltimore
Large Two Story Loft in the Heart of West Village,1127.0,Entire home/apt,No pets & No children under 10,3.0,5,4.0,Newark
Gramercy One Bedroom w Two Beds,485.0,Entire home/apt,No visitors & No children under 10,7.0,4,2.0,Newark
AMAZING TIME SQUARE!!BRICK WALLS!!,910.0,Entire home/apt,No children under 10 & No pets,30.0,3,1.0,Newark
"Huge, Bright, clean Bushwick blocks from train",814.0,Private room,No parties,20.0,1,4.0,Newark
